映画・ドラマ,地雷フラグ,友人におすすめ,ワクワク,怖い,感動,イケメン・美人,胸キュン,爆発・暴力,あり得ない,勉強になる,悲しい,笑える,社会派,アクション,絵が美しい🥰
13の理由,0,7.0,3.0,3.0,7.0,7.0,5.0,0.0,0.0,7.0,10.0,0.0,10.0,0.0,2.0
7番房の奇跡,0,10.0,5.666666666666667,6.333333333333333,10.0,4.666666666666667,0.6666666666666666,6.333333333333333,6.0,7.333333333333333,10.0,6.333333333333333,8.333333333333334,2.0,6.333333333333333
"ARASHI Anniversary Tour 5×20 FILM ""Record of Memories""",0,9.0,9.0,0.0,10.0,8.0,7.0,1.0,0.0,2.0,1.0,9.0,0.0,0.0,10.0
ARASHI Anniversary Tour 5×20 FILM “Record of Memories”,0,10.0,10.0,0.0,10.0,10.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,6.0,10.0
Gladiator,1,8.0,2.0,8.0,8.0,8.0,4.0,10.0,3.0,7.0,10.0,0.0,6.0,10.0,10.0
IT,0,1.0,7.0,6.0,7.0,9.0,2.0,9.0,7.0,2.0,6.0,1.0,0.0,10.0,10.0
LEON,0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,6.0,3.0,10.0,4.0,8.0,10.0,7.0
MEG ザ・モンスター,1,1.0,1.0,9.0,5.0,6.0,2.0,9.0,10.0,1.0,1.0,0.0,0.0,10.0,1.0
Mr. & Mrs. Smith,0,0.0,9.0,2.0,3.0,10.0,4.0,7.0,5.0,1.0,2.0,7.0,1.0,9.0,7.0
NARUTO -ナルト- 疾風伝 火の意志を継ぐ者,0,6.0,1.0,3.0,4.0,8.0,0.0,10.0,8.0,0.0,9.0,0.0,0.0,10.0,10.0
PとJK,0,3.0,5.0,0.0,5.0,9.0,6.0,3.0,8.0,0.0,0.0,1.0,0.0,6.5,7.0
Sex and the City,0,8.0,10.0,0.0,7.0,8.0,7.0,0.0,6.0,0.0,2.0,10.0,0.0,0.0,5.0
TRICK,0,9.0,8.0,4.0,6.0,10.0,4.0,9.0,9.0,0.0,5.0,10.0,5.0,5.0,4.0
The Blind side,0,8.0,8.0,0.0,10.0,5.0,5.0,4.0,1.0,9.0,0.0,4.0,0.0,1.0,1.0
The way,0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,2.0,1.0,5.0,2.0,0.0,0.0,7.0
gifted ギフテッド,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ういらぶ,0,6.0,7.0,1.0,7.0,10.0,10.0,3.0,5.0,2.0,4.0,7.0,5.0,2.0,6.0
おおかみこどもの雨と雪,0,7.0,4.0,3.25,7.25,3.25,2.75,2.75,8.75,3.0,7.75,3.0,5.0,2.75,6.75
お嬢さん,1,5.0,8.0,8.0,2.0,8.0,5.0,10.0,9.0,0.0,6.0,0.0,0.0,0.0,10.0
かぐや姫の物語,0,3.0,2.5,2.0,4.0,2.0,2.5,0.5,1.5,5.0,7.0,2.5,4.0,0.5,5.5
きっとうまくいく,0,10.0,10.0,0.0,8.0,5.0,5.0,0.0,7.0,2.0,5.0,10.0,0.0,8.0,5.0
この世界の片隅に,0,9.0,3.0,8.0,10.0,0.0,0.0,8.0,1.0,10.0,10.0,1.0,10.0,0.0,9.0
こんな夜更けにバナナかよ,0,5.0,4.0,4.0,9.0,7.0,3.0,4.0,1.0,9.0,6.0,7.0,9.0,2.0,5.0
となりのトトロ,0,8.4,8.4,1.4,9.4,4.4,4.0,1.8,4.4,4.8,4.0,6.2,4.4,3.0,9.8
ぼくは明日、昨日のきみとデートする,0,9.0,2.0,1.0,10.0,9.0,8.0,1.0,9.0,1.0,10.0,3.0,2.0,1.0,5.0
またの名をグレイス,0,5.0,1.0,7.0,2.0,10.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0
もののけ姫,0,8.2,8.2,5.6,8.6,7.2,5.2,4.4,5.0,3.4,2.8,1.4,2.0,5.8,9.8
るろうに剣心,0,6.0,4.0,7.0,8.0,9.0,7.0,9.0,9.0,7.0,8.0,0.0,7.0,10.0,5.0
アイ・アム・サム,0,8.0,6.0,5.0,10.0,6.0,1.0,2.0,2.0,8.0,10.0,7.0,8.0,3.0,5.0
アイ，トーニャ 史上最大のスキャンダル,0,6.0,3.0,6.0,6.0,7.0,3.0,9.0,0.0,0.0,5.0,0.0,6.0,6.0,0.0
アナと雪の女王,0,7.5,9.0,1.5,10.0,7.0,6.5,3.0,5.0,0.0,5.0,6.0,0.0,8.0,9.0
アマデウス,1,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,4.0,2.5,0.0,0.0,0.0,3.5
アラジン,0,9.333333333333334,8.333333333333334,0.6666666666666666,7.666666666666667,8.0,8.666666666666666,2.6666666666666665,9.0,1.0,4.0,6.666666666666667,2.333333333333333,5.0,8.666666666666666
アリスインワンダーランド,0,6.0,6.0,6.0,7.0,6.0,3.0,3.0,7.0,2.0,2.0,2.0,3.0,4.0,6.0
アンナチュラル,0,10.0,6.0,6.0,10.0,10.0,5.0,8.0,4.0,8.0,10.0,6.0,3.0,8.0,7.0
イニシエーションラブ,0,3.0,9.0,9.0,3.0,6.0,3.0,1.0,10.0,3.0,2.0,7.0,6.0,1.0,3.0
