生徒数,訪問数,説明会,電話,A資料,B資料,C資料,販促品,エリア,販売数
28,29,3,6,2,2,2,2,南,12
30,17,2,5,2,2,2,2,西,16
14,29,3,4,1,1,1,2,東,12
90,8,2,4,2,2,3,1,東,5
14,16,1,4,1,1,1,1,南,9
45,13,0,4,2,2,2,2,南,6
4,11,4,3,1,2,2,2,北,6
36,17,3,3,1,1,1,1,北,25
24,15,1,3,2,2,2,3,東,3
15,16,1,3,1,1,1,1,西,6
8,9,7,2,2,2,2,1,南,30
29,17,6,2,3,3,3,3,東,4
20,18,5,2,1,1,3,2,東,5
14,19,5,2,1,1,9,2,南,5
8,19,5,2,1,1,9,0,南,20
6,17,4,2,2,2,2,1,西,14
23,21,4,2,1,1,1,3,西,37
11,19,4,2,1,1,1,3,南,9
14,19,4,2,1,1,1,2,南,14
15,9,4,2,2,2,2,2,北,12
7,17,4,2,1,1,1,2,北,9
8,25,4,2,2,1,1,3,北,0
7,24,3,2,2,2,2,2,東,11
29,23,3,2,1,2,2,2,東,17
6,11,3,2,1,1,9,1,東,0
5,17,3,2,1,1,1,3,西,11
13,16,3,2,1,1,1,3,西,2
13,17,3,2,1,2,2,1,西,10
10,6,3,2,1,1,2,1,西,1
14,14,3,2,1,1,1,3,南,21
11,17,3,2,1,2,3,3,南,5
29,28,3,2,1,1,1,3,南,5
12,10,3,2,2,2,2,0,北,11
29,11,3,2,1,2,2,3,北,25
14,11,3,2,2,2,2,1,北,2
36,17,3,2,2,2,2,2,北,13
30,15,3,2,3,2,2,2,北,1
0,2,2,2,9,9,9,0,東,0
29,18,2,2,1,1,2,3,東,7
10,13,2,2,1,1,1,3,東,15
14,6,2,2,1,1,1,2,西,3
18,16,2,2,1,1,1,3,西,8
13,15,2,2,1,1,1,0,西,10
34,16,2,2,2,2,2,3,西,3
28,21,2,2,2,1,2,3,西,9
9,11,2,2,2,2,2,2,西,10
6,8,2,2,3,2,9,2,南,0
6,7,2,2,1,1,1,3,南,5
5,7,2,2,1,1,1,1,南,7
15,13,2,2,2,2,2,3,南,1
13,17,2,2,1,1,1,2,南,0
17,12,2,2,1,2,1,2,南,21
8,18,2,2,1,1,1,1,北,9
23,19,2,2,1,1,1,1,北,26
30,13,2,2,1,1,1,2,北,18
13,13,2,2,2,2,2,1,北,5
14,9,2,2,1,1,3,1,北,9
8,11,1,2,2,2,2,2,東,3
24,6,1,2,1,1,3,2,東,8
14,17,1,2,1,1,2,1,東,2
5,14,1,2,1,1,1,1,東,7
13,19,1,2,1,1,1,3,東,13
12,10,1,2,1,1,1,3,東,5
19,13,1,2,1,1,2,1,東,9
10,16,1,2,2,2,2,3,東,9
14,19,1,2,1,1,9,1,東,0
8,7,1,2,1,1,3,1,東,2
9,12,1,2,2,2,2,1,西,0
13,18,1,2,9,9,1,2,西,9
13,16,1,2,2,2,3,3,西,6
6,11,1,2,3,3,3,1,西,2
9,22,1,2,1,1,1,1,西,11
14,7,1,2,1,1,1,0,南,0
11,15,1,2,2,2,2,2,南,23
13,9,1,2,1,1,3,2,南,0
4,11,1,2,2,2,2,2,南,2
